scenario_id,read_ratio,payload_size_b,cardinality,nested_depth,working_set_ratio,query_selectivity,consistency_penalty_ms,index_coverage,join_fan_out
S00181,0.2,128,100,3,0.9,0.5,0,none,10
S00182,0.2,128,100,3,0.9,0.5,0,none,50
S00183,0.2,128,100,3,0.9,0.5,0,full,1
S00184,0.2,128,100,3,0.9,0.5,0,full,10
S00185,0.2,128,100,3,0.9,0.5,0,full,50
S00186,0.2,128,100,3,0.9,0.5,5,none,1
S00187,0.2,128,100,3,0.9,0.5,5,none,10
S00188,0.2,128,100,3,0.9,0.5,5,none,50
S00189,0.2,128,100,3,0.9,0.5,5,full,1
S00190,0.2,128,100,3,0.9,0.5,5,full,10
S00191,0.2,128,100,3,0.9,0.5,5,full,50
S00192,0.2,128,1000,1,0.1,0.05,0,none,1
S00193,0.2,128,1000,1,0.1,0.05,0,none,10
S00194,0.2,128,1000,1,0.1,0.05,0,none,50
S00195,0.2,128,1000,1,0.1,0.05,0,full,1
S00196,0.2,128,1000,1,0.1,0.05,0,full,10
S00197,0.2,128,1000,1,0.1,0.05,0,full,50
S00198,0.2,128,1000,1,0.1,0.05,5,none,1
S00199,0.2,128,1000,1,0.1,0.05,5,none,10
S00200,0.2,128,1000,1,0.1,0.05,5,none,50
S00201,0.2,128,1000,1,0.1,0.05,5,full,1
S00202,0.2,128,1000,1,0.1,0.05,5,full,10
S00203,0.2,128,1000,1,0.1,0.05,5,full,50
S00204,0.2,128,1000,1,0.1,0.5,0,none,1
S00205,0.2,128,1000,1,0.1,0.5,0,none,10
S00206,0.2,128,1000,1,0.1,0.5,0,none,50
S00207,0.2,128,1000,1,0.1,0.5,0,full,1
S00208,0.2,128,1000,1,0.1,0.5,0,full,10
S00209,0.2,128,1000,1,0.1,0.5,0,full,50
S00210,0.2,128,1000,1,0.1,0.5,5,none,1
S00211,0.2,128,1000,1,0.1,0.5,5,none,10
S00212,0.2,128,1000,1,0.1,0.5,5,none,50
S00213,0.2,128,1000,1,0.1,0.5,5,full,1
S00214,0.2,128,1000,1,0.1,0.5,5,full,10
S00215,0.2,128,1000,1,0.1,0.5,5,full,50
S00216,0.2,128,1000,1,0.9,0.05,0,none,1
S00217,0.2,128,1000,1,0.9,0.05,0,none,10
S00218,0.2,128,1000,1,0.9,0.05,0,none,50
S00219,0.2,128,1000,1,0.9,0.05,0,full,1
S00220,0.2,128,1000,1,0.9,0.05,0,full,10
S00221,0.2,128,1000,1,0.9,0.05,0,full,50
S00222,0.2,128,1000,1,0.9,0.05,5,none,1
S00223,0.2,128,1000,1,0.9,0.05,5,none,10
S00224,0.2,128,1000,1,0.9,0.05,5,none,50
S00225,0.2,128,1000,1,0.9,0.05,5,full,1
S00226,0.2,128,1000,1,0.9,0.05,5,full,10
S00227,0.2,128,1000,1,0.9,0.05,5,full,50
S00228,0.2,128,1000,1,0.9,0.5,0,none,1
S00229,0.2,128,1000,1,0.9,0.5,0,none,10
S00230,0.2,128,1000,1,0.9,0.5,0,none,50
S00231,0.2,128,1000,1,0.9,0.5,0,full,1
S00232,0.2,128,1000,1,0.9,0.5,0,full,10
S00233,0.2,128,1000,1,0.9,0.5,0,full,50
S00234,0.2,128,1000,1,0.9,0.5,5,none,1
S00235,0.2,128,1000,1,0.9,0.5,5,none,10
S00236,0.2,128,1000,1,0.9,0.5,5,none,50
S00237,0.2,128,1000,1,0.9,0.5,5,full,1
S00238,0.2,128,1000,1,0.9,0.5,5,full,10
S00239,0.2,128,1000,1,0.9,0.5,5,full,50
S00240,0.2,128,1000,3,0.1,0.05,0,none,1
S00241,0.2,128,1000,3,0.1,0.05,0,none,10
S00242,0.2,128,1000,3,0.1,0.05,0,none,50
S00243,0.2,128,1000,3,0.1,0.05,0,full,1
S00244,0.2,128,1000,3,0.1,0.05,0,full,10
S00245,0.2,128,1000,3,0.1,0.05,0,full,50
S00246,0.2,128,1000,3,0.1,0.05,5,none,1
S00247,0.2,128,1000,3,0.1,0.05,5,none,10
S00248,0.2,128,1000,3,0.1,0.05,5,none,50
S00249,0.2,128,1000,3,0.1,0.05,5,full,1
S00250,0.2,128,1000,3,0.1,0.05,5,full,10
S00251,0.2,128,1000,3,0.1,0.05,5,full,50
S00252,0.2,128,1000,3,0.1,0.5,0,none,1
S00253,0.2,128,1000,3,0.1,0.5,0,none,10
S00254,0.2,128,1000,3,0.1,0.5,0,none,50
S00255,0.2,128,1000,3,0.1,0.5,0,full,1
